"job_title","company_name <- unlist(final_results[2])","state <- unlist(final_results[3])","description <- unlist(final_results[4])"
"Data Scientist",NA,"Boston","Location:US-MA-Cambridge
ID:2021-1574
# of Openings :1
Category:Research & Development
Address:10 Wilson Road

Overview

Civetta Therapeutics (located in Cambridge, MA) is developing novel therapeutics through the targeting of beta-propeller domain proteins. Beta-propellers are a class of highly conserved structural proteins that are implicated in a range of indications, including multiple types of cancer, neurodegenerative and metabolic diseases. Backed by Deerfield Management, Civetta was founded by William Sellers (Broad Institute and Dana-Farber Cancer Institute) and Eric Fischer (Dana Farber Cancer Institute and Harvard Medical School) with the mission to leverage the wide array of biologic functions in which propeller proteins participate to discover impactful new medicines for patients.

We are building a team of talented, dedicated scientists who share our vision and our passion to discover groundbreaking new drugs to treat some of the most difficult diseases, including cancer. If you are an accomplished life sciences professional that can bring significant energy, passion, and expertise to the team, we welcome the opportunity to consider you for a position.

The position.We are seeking an experienced and creative data scientist to help us discover small molecule modulators of beta-propeller proteins, to support validation of new targets, and to help propel our ongoing drug discovery programs. This is an excellent opportunity for individuals looking to work in a fast-paced, dynamic biotech environment.

Responsibilities

Responsibilities

Contribute to the identification and validation of novel disease targets by mining genomic, protein, structure, and disease databases
Build interactive dashboards to promote data accessibility and communicate complex results
Biologically curious to develop new hypotheses and perform custom analyses designed to answer biological and translational questions (E.g., patient selection/stratification, biomarker strategy, indication expansion)
Apply and develop machine learning and AI methods to enhance discovery efforts
Identify informatics opportunities, propose solutions to support discovery needs
Work with chemists, biologists, and protein sciences to integrate experimental data into our growing knowledge base



Qualifications

Qualifications

PhD in Bioinformatics, computational biology, computer science, or related field; or MS with equivalent experience
Expertise in multi-omics data analysis
Proficient in R, or python, and AWS cloud computing fundamentals
Knowledge and application of machine learning techniques
Experience in data modeling and engineering in context of life science drug discovery
Excellent interpersonal skills with ability to communicate and interact well with colleagues, vendors, CROs, and scientific advisors
Highly organized with excellent analytical, documentation and multi-tasking skills
Enthusiastic, self-motivated individual wanting to work in the fast-paced and dynamic environment of a startup

Civetta Therapeutics provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to religion, race, creed, color, sex, sexual orientation, alienage or citizenship status, national origin, age, marital status, pregnancy, disability, veteran or military status, predisposing genetic characteristics or any other characteristic protected by applicable federal, state or local law.

Notice to Third-Party Recruiters/Staffing Agencies:Recruitment is managed through Civetta Therapeutics' Human Resources department. Resumes will only be accepted from staffing agency/recruiters if there is a signed contract in place. Recruiters are requested to not contact our hiring managers or employees directly to inquire about open positions or to present candidates. In the event a staffing agency/third-party recruiter submits a resume without a contract in place, the candidate submitted will be considered unsolicited and treated as if the candidate submitted their resume directly to Civetta, and no fee/payment will be paid. Recruiters interested in working with Civetta Therapeutics can submit their information to contact@civettatherapeutics.com, and we will contact you if needed.

CTx1107

PM18

#LI-DNI


PI149883226"
"Data Scientist Early Development","GNS Healthcare","Boston","Company Overview

Imagine if we could harness the power of real-world clinic-genomic data and the next generation AI to radically change the way novel drug therapies are discovered

Headquartered in Somerville, MA, GNS Healthcare is an AI-driven precision medicine company transforming the way novel drug therapies are discovered, developed, and utilized to drive the best possible patient outcomes across oncology, auto-immune diseases, and neurology. Our solutions powered by large multi-modal datasets, simulate patient response at the individual level through in silico patient models called Gemini. Gemini reveal the underlying circuitry of diseases to provide insights and evidence to support enhanced drug discovery, clinical trials, real world evidence and market access strategies Backed by decades of research, validated results and clinical expertise, our solutions are used by many of the world’s leading biopharmaceutical companies.

Position Summary

The Data Scientist will join a dynamic team responsible for developing, exploring, and building models using GNS’s powerful cloud-based analytics platform. We are looking for someone who thrives working in a fast-paced, exciting, and collaborative environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will work on projects to expand our proprietary, supercomputer-powered Bayesian network modeling and simulation platform. You will explore innovative ways to use the platform to solve new problems. You will collaborate with our research data scientists to develop models using the platform using large, rich biological data sets.

Responsibilities

Collaborate with internal interdisciplanry research teams to develop new computational and algorithmic strategies designed to understand the inner workings of complex biological systems
Communicate highly technical methods and strategies to internal scientists and analysts
Develop complex models using our causal machine learning platform and perform simulations and analysis using these models
Perform experiments to understand and communicate new ways of using our platform to solve interesting and complicated edge cases

Qualifications

Minimum Qualifications:

Master’s Degree in a quantitative discipline such as physics, mathematics, or equivalent practical experience
3-5 years of experience working with statistics, advanced ML techniques, probability theory, Bayesian analysis, and/or causal inference methods
Ability to rapidly learn new tools and work well in a multidisciplinary work environment
Ability to numerically investigate complex problems using methods from various fields of physics and mathematics
Strong drive for problem solving and a deeper understanding of how things work
Experience with linux, clusters, and cloud computing
Demonstrated experience working with programming languages such as R and python
Strong written and verbal communication; an ability to communicate technical material to non-technical audiences simply and clearly and collaborate well on a team

Preferred Qualifications:

Doctorate in a quantitative discipline such as physics or mathematics

Company Culture

Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.

We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.

GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.

Equal Employment Opportunity

GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.




jdcE8paPqw"
"Data Scientist","MIT","Boston","Working at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity.

Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.


DATA SCIENTIST, Center for Biomedical Innovation (CBI), to support project work, including funded research and activities within the Biomanufacturing@MIT-CBI program and its two biopharmaceutical industry consortia, BioMAN (BiomanufacturingConsortium), CAACB (Consortium on Adventitious Agent Contamination in Biomanufacturing), and the BioACCESS program. Projects may include the BioMAN’s aim to understand and manage the risk associated with the variation of raw materials in biomanufacturing, CAACB’s pandemic preparedness initiative, and risk assessment and standardization of database management policies to ensure accuracy and security. CBI has several projects ongoing that aim to develop tools to compile literature, mine confidential internal reports, and support database creation and curation. Projects involve identifying and vetting data sources; developing pipelines to extract, process, load, and validate data; developing data products like literature relevancy scores; reverse engineering algorithms; and performing and writing up research on these data products. Data sources are both structured and unstructured. Responsibilities include developing and deploying data products, e.g., models, pipelines; helping to stand up a robust data pipeline; conducting quality control checks; maintaining data lake to support research and data products; conducting and writing up research; and other duties as needed.

Job Requirements
REQUIRED: Ph.D. or its equivalent in relevant scientific field (computer science, engineering, mathematics); proficiency with Python and SQL, API and user interface design, and algorithm design and ability to reverse engineer algorithms; familiarity with GitHub and basic statistical techniques (e.g., hypothesis testing, simple linear models); ability to work independently and as a team member; and attention to detail. PREFERRED: experience working with databases (MSSQL), natural language processing, and Docker; a biological background; and familiarity with cloud-based services, e.g., AWS or Azure. Job #20258

This is a one-year appointment with the possibility of extension based upon satisfactory performance and the availability of funding."
"Data Scientist","IBM","Boston","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data and Technology Transformation (D&TT) service line is on a mission to bring the most advance technology, skills, and processes to IBM customers through data, analytics & AI, blockchain, and automation capabilities. As we move forward in transforming the GBS business, Customer Transformation (CT) intelligent workflows, including Marketing Intelligence, Sales Transformation, Service Transformation, Commerce Transformation, and Product Innovation are looking to incorporate the ""intelligence"" into their workflows. We are looking for an experienced and seasoned data scientist paired with strong consultative skills that can support integration of D&TT into intelligent workflows. 7+ years of experience in consulting, data and analytics.

Primary responsibilities include:
Facilitate data and AI workshops for customer’s teams that focus on the intersection of strategy, AI and creativity
Tell the AI story of tomorrow at the pace of today’s challenges: use great data storytelling, design, and business objectives on a tight deadline
Evangelize data storytelling and a human approach to AI by developing further credibility in the marketplace, pushing IBM brand into the world with purposeful, human and visual demonstrations delivered through experiments, thought posts, exercises where applicable and points of view.
Synthesize complex business challenges to create future roadmaps
Know your customer: determine the right deliverable to effectively communicate with each audience
Maintain a user-centered design approach as you tackle complex problems
Visualize solutions

Required Technical and Professional Expertise

At least 3 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualizations or optimization modeling
At least 1 years of experience in project management of consulting engagement
Advanced knowledge in advanced analytics tools (such as R, SPSS, Python, SAS), data management (such as DB2, SQL, Hadoop) or visualization (such as d3 Javascript, HTML, CSS)

Preferred Technical and Professional Expertise

Advanced degree
At least 5 years of experience in strategy consulting, and applying data mining, text analytics, visualizations and optimization modeling
At least 2 years of experience in project management of consulting engagement
At least 3 years of experience in advanced analytics tools such as R, SPSS, Python, SAS
At least 3 years of experience in data management such as DB2, SQL, Hadoop
At least 3 years of experience in visualization such as d3, Javascript, HTML, CSS

About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Scientist I, Machine Learning","Biogen","Boston","Qualifications

About This Role

The Molecular Informatics team at Biogen is searching for a scientist interested in machine learning applications and transformative artificial intelligence algorithms to accelerate and improve the established small molecule design cycle that consists of idea generation, evaluation, and synthesis. This is a unique opportunity to join a cross-functional team working at the intersection of computational, chemical, and biological sciences and have direct access to a wealth of structured and unstructured data across the Biogen research organization to make a massive impact on redefining the early drug-discovery platform.

What You’ll Do

Develop fully integrated molecular design generation workflows by applying deep reinforcement learning and other artificial intelligence algorithms in combinations with Open-Source cheminformatics toolkits.

Evaluate and apply current state-of-the-art transferable machine learning potentials for small molecules conformational energies based on deep learning algorithms.

Collaborate closely with the Computational Chemistry group and other cross-functional Drug Discovery teams to apply novel algorithms to relevant therapeutic projects.

Publish original work in top peer-reviewed journals as well as present his/her research work at internal and external meetings

Why Biogen?

Our mission to find therapies for neurological and rare diseases is a unique focus within our industry and this shared purpose is what connects us as a team. We work together to overcome obstacles and to follow the science.

Who You Are

You are a creative and highly motivated scientist with demonstrated expertise in the field of machine learning and cheminformatics. You stay current with the scientific literature and apply the latest advances in computational methods to address drug discovery challenges. Thinks independently to solve complex problems.

Required Skills

Ph.D. in a computational field (e.g. cheminformatics, computer science)

1+ years postdoctoral experience

Track record of publications, and/or scientific presentations

Preferred Skills

Good working experience with modern deep generative models for molecule generations, such as VAE, RNN, LSTM, and GAN.

Experience with multi-objective optimization algorithms, and their application to deep reinforcement learning architectures.

Experience building CNNs, RNNs, and other neural network infrastructure from scratch using deep learning libraries (e.g. TensorFlow, Keras, PyTorch).

Advanced knowledge of the Python programming language and related open-source libraries.

Machine learning experience building classical statistical models (e.g. Random Forests, SVM, Light GBM, XGBOOST) and basic statistics




Additional Information


All your information will be kept confidential according to EEO guidelines."
"Data Scientist","Microsoft","Boston","The ALICE team is hiring!

We are looking for a Data Scientist with strong analytical and developer skills to join our team to develop industry leading machine learning solutions. Successful candidates will have a strong statistical background, along with several years of experience extracting data insights from ad-hoc data analysis or complex ML modeling to drive business decision making. They should be driven by the desire to translate business problems into data science tasks and build modeling pipelines to solve problems for business partners and stakeholders. You will also have the opportunity to contribute to our open-source package EconML, contribute to research into cutting edge causal inference techniques, and apply them to answer what-if types questions!

ALICE is a project within Microsoft Research New England to direct Artificial Intelligence towards economic decision making. We build tools that combine state-of-the-art machine learning with econometrics to bring automation to economic decision making.

Microsoft Research has a long tradition of work at the intersection of Economics and Computer Science, and this team brings together researchers from across Social Science, Computer Science, and Machine Learning. The Alice project allows us to dramatically scale the success that we’ve had in adapting existing ML technology for economic applications and in developing new deep learning architectures for causal inference. All our research is tied to concrete policy-relevant applications, including work on demand estimation and price optimization, on measuring effectiveness of advertising and sales strategies. The goal is to use AI to improve and democratize economic research while taking from economic theory to push the frontier of AI.

#research
Responsibilities
Role and Responsibilities:
You'll be a member of a cross-disciplinary team of engineers, data scientists and researchers.
Learning new skills rapidly and applying as needed, e.g., learn a new machine learning algorithm from a research paper and implementing it.
Manipulating and analyzing complex, high-dimensionality data from varying sources to solve difficult problems.
Developing creative solutions and build prototypes to business problems using algorithms based on machine learning, statistics, and optimization, and work with Microsoft Partner teams to productionize those algorithms and create impact in production.
Providing high quality support to all researchers in the lab.
Creating and maintaining relationships with product teams.
Ability to effectively work in collaborative multiple project team environment and ship production features in a fast-paced startup environment.
Qualifications
Required Qualifications:
Bachelor’s degree in Statistics, Data Science, Applied Mathematics, Economics, Operation Research, Computer Science or related field (or the equivalent experience).
3+ years of experience with exploratory data analysis, statistical analysis and testing
3+ years of experience in applying, implementing, and/or developing algorithms for machine learning, artificial intelligence, or statistics. Academic work experience may be considered
1+ years of industry experience with data mining tools such as Python, R, Matlab, SQL

Preferred Qualifications:
MS or PhD in Statistics, Data Science, Applied Mathematics, Economics, Operations Research, Computer Science, or equivalent technical field.
Experience working in an academic research environment
Experience in large scale data processing like Spark/Hadoop
The ability to self-teach in new domains.
Ability to work independently and ramp-up quickly on complex and unfamiliar code.
Experience with application development practices and version control systems.
Good communication skills, both verbal and written.
Strong intellectual curiosity and passion to solve real-world problems for enterprises and consumers

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
"Data Scientist","Analysis Group, Inc.","Boston","Overview:


Analysis Group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.

We are currently seeking a Data Scientist to join our team. The ideal candidate should be passionate about working on cutting edge research and analytical services for Fortune 500 companies, global pharma/biotech firms and leaders in industries such as finance, energy and life sciences. The Data Scientist will be a contributing member to client engagements and have the opportunity to work with our network of world-class experts and thought leaders.

Job Functions and Responsibilities
The candidate Data Scientist will help develop, maintain and teach new tools and methodologies related to data science and high performance computing. This position will also help Analysis Group in maintaining our leadership position in terms of advancing methodology and data analytics. The Data Scientist will be responsible for staying abreast of new developments in technology relating to data science, to share more broadly with Analysis Group.

Key responsibilities for this position will include:

Working with project teams to address data science/computing challenges
Identifying opportunities for technology to enhance service offerings
Acting as a resource and participating in client engagements and research as part of the project team
Maintaining up-to-date knowledge of computing tools, providing technical training and helping to grow the in- house knowledge base, specifically in a Linux environment
Presenting research at selected conferences

Examples of activities for the Data Scientist will include:

Developing data engineering and machine learning production systems for full stack data science projects
Using natural language processing methodologies to work with EMR data, social media data and other unstructured data
Optimizing procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions)
Developing and reviewing software and packages in R, Python, C# and other Object Oriented Languages

Qualifications

Significant experience working within a Linux environment required, experience with Docker and front-end development using a Javascript framework (e.g., Vue.js, Angular) is highly preferred.
Strong credentials and experience working with document and relational databases (MongoDB, SQL Server, etc.).
Bachelor’s degree required. Advanced degree, ideally PhD in Computer Science, Mathematics, Statistics, Economics or other relevant scientific degree with relevant experience, is preferred. Other candidates with at least one year of experience in the field may also be considered.
Demonstrates strong interpersonal, written, and oral communication skills.
Project experience with Python and/or R is preferred.
Demonstrated experience working on project teams and collaborating with others.
Â:

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Please view Equal Employment Opportunity Posters provided by OFCCP here.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)"
"Data Scientist I","Amazon.com Services LLC","Boston","Master's degree (or Bachelor's degree 3+ years of experience) in a quantitative discipline such as Statistics, Mathematics, Data Science, Business Analytics, Economics, Finance, Engineering, or Computer Science
1+ years of experience working as a data scientist or a similar role involving data extraction, analysis, statistical modeling, and communication
1+ years of experience using data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab, etc.)
Job summary
Are you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers that work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences in ways we can’t even imagine yet. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling and fun.

Amazon Robotics, a wholly owned subsidiary of Amazon.com, empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas.

As a data scientist, you will work closely with software engineers, in-field operations teams, system engineers, and product managers in the development, qualification, documentation, and deployment of new - as well as enhancements to existing - operational models, metrics, and data driven dashboards. You will leverage Amazon’s heterogeneous data sources and large-scale computing resources to propose, develop, and productize solutions that impact local operations across our global network of fulfilment and transportation sites; owing your work, concept through to execution.

As such, we are looking for a candidate with a strong data science background, including a robust understanding of statistics, and experience with data mining, data analysis, and data visualization.

The candidate will be responsible for:

Collaborating with cross functional teams and local operations to identify future support needs
Driving the model development and implementation of automation tools for problem detection and diagnostics in the fulfillment and transportation space
Translating operational metrics into functional requirements for BI-tools, models, and reporting
M.Sc. in Statistics, Mathematics, Engineering, Computer Science, or related analytical disciplines
Experience in leveraging analytics to drive the generation of business value in related business sectors such as Logistics and Supply Chains, Transportation, and Engineering
Experience in developing statistical and mathematical optimization models, and simulation and visualization tools
Experience with agile or scrum methodology
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
"Data Scientist","Paytronix Systems","Boston","The kind of person we're looking for:

We’re looking for an energetic, thoughtful, intelligent, creative thinker to join the Data Insights team. You’ll need to have a passion for big data and analytics, and for solving difficult problems. You’ll need to be excited about trying new things and looking for ways to create new intellectual property that can help Paytronix and our clients. And you’ll need to be a team player that is willing to be flexible to changing priorities, that is motivated by the opportunity to be part of building a business.

The kind of stuff you'll be doing:

Research, develop and deploy your own advanced machine learning models (classification, forecasting, regression, decision tress, naive bayes) and algorithms for new product features that maximize member engagement
Using leading-edge tools to mine and analyze member and transactional data to determine the impact of loyalty programs and marketing campaigns on member behavior
Integrate your solutions into our platform to run at scale and directly impact the experience of the members
Drive measurable business value and communicate the results to technical and non-technical stakeholders
Creating actionable customer segments/clusters for reporting and targeting purposes
Work with a team of friendly and motivated analysts working together to build innovative solutions to complex business challenges

The kind of skills and experience you'll need:

Track record of excellent analytical and problem-solving skills
Strong analytical skills to effectively apply statistical methodologies in solving business challenges
A good understanding of statistics, including regression and predictive modeling
Excellent communication skills to make recommendations and analysis to business users, both verbally and written
Bachelor of Science with a major in Statistics, Decision Sciences, Applied Mathematics degree or similar quantitative field of study
3-5 years of profession experience in applying advanced models and data driven analysis in a production environment
Proficient in scientific Python (NumPy, SciPy, scikit-learn, Pandas, XGBoost), SQL and GitHub

The extra stuff that would be nice:

Restaurant or Retail analytics experience
Experience with loyalty programs

For information on our benefits, see here."
"Acoustic Data Scientist (contract)","Pfizer","Boston","Acoustic Data Scientist

Summary:

The Manager, Acoustic Data Scientist role is a USA/MA-based role. She/he is responsible for designing and building ML-based analytical platforms for one or more projects that will identify and develop scientific and technological solutions for validating and qualifying novel digital endpoints to measure the impact of therapeutic interventions across the enterprise.

The Acoustic Data Scientist will support the progression of clinical, methodological studies utilizing digital devices/sensors and advanced analytics. This person partners closely with the scientific and clinical team members, applying technical, software development, and analytics knowledge to support the research, development, and deployment of digital endpoints in clinical trials.

Responsibilities:

The ideal individual will exhibit the scientific expertise to support up the analysis of acoustic data and digital measures of human activity
Responsible for implementing innovative ML-based strategies to deliver differentiated solutions based on the disease mechanism for teams
Exhibits the ability to build a deep knowledge of data analytics for the programs they support
Responsible for proposing and supporting the most effective technical or analytical solution for a given project considering cost, technical and operational feasibility, and time to delivery
Leverages experience to possibly lead projects internally and collaborate with partners in other units within Pfizer or in the external academic, medical, and technology community to identify and advance their project(s)
Supports algorithm specification documents as well as regulatory submissions
Identifies significant operational and logistical risks and develops effective mitigation options
Exhibits operational excellence as a team member in a matrixed organization
Coordinates with client research or development teams to ensure alignment on the project objectives and deliverables
Demonstrated ability to be an effective communicator; keeping leadership, partners, and team members well informed of progress and will also be able to effectively present information to teams, external advisors, and potential partners. Effectively communicates complex analytical concepts to team members with varied backgrounds
Contributes to the Project Leader and Data Sciences knowledge through sharing best practices and learnings as required
Ability and interest to serve as a team consultant on data collection strategies in cellular devices

Qualifications:

MS in Biomedical Engineering, Mathematics or Electrical Engineering, Computer Science, or a similar technical field and minimum 3+ years of experience with physiological sensor signals, processing, and analysis
Background in developing models including ML-based models, utilizing mathematics, signal processing, and data extraction
Proficient in Python, R or MATLAB
Experience with Python packages: NumPy, Matplotlib, pandas
Advanced working knowledge of AWS tools and services for data science and big data, e.g., ECS, EMR, Lambda, Kinesis, SageMaker
Familiarity in setting up and using agile software development, and source control tools, e.g., git, kanban boards
Experience supporting clinical studies and complex study teams
The ideal candidate will have MS or Ph.D. in data science or engineering with minimum 1+ years in acoustic and voice analysis
Experience in the design & development of user-facing software solutions (web-based or app-based) for the collection of speech data and patient data is preferred
Experience developing requirements for digital solutions and/or device component selection is preferred
Capable of supporting team of internal or external data scientists in the selection of voice metrics is preferred
Capable of developing code extraction solutions for voice metrics using signal processing techniques is preferred
Ability to perform complex mathematical calculations
Ability to perform complex data analysis

Please note contractors are engaged to provide services to Pfizer on a temporary basis in connection with a specific assignment. Contractors are hired and employed through Atrium, our third-party payrolling partner."
"Natural Language Processing Data Scientist","Boston Children's Hospital","Boston","60541BR
Informatics

Job Posting Description

At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.

The Health Natural Language Processing Lab (http://www.chip.org/research/nlp) at Boston Children’s Hospital is seeking a data scientist with a background in natural language processing (NLP) to contribute to cutting edge research in the field of health natural language processing. We are looking for creative and diligent candidates to help us research cutting edge neural network approaches for biomedical information extraction tasks. This position offers an opportunity to work with world-leading investigators and researchers from Harvard Medical School and other top medical institutions on important new medical knowledge.

Our faculty are leaders in developing open source software - cTAKES (ctakes.apache.org) and DeepPhe (https://deepphe.github.io). cTAKES has been named one of the 20 most influential Apache projects (http://www.chip.org/research/nlp).

Our lab is part of the Computational Health Informatics Program (chip.org), a multi-disciplinary program with diverse expertise in computational approaches to health. Boston Children’s Hospital has been consistently ranked the #1 pediatric hospital by the US World and News Report and is the pediatric teaching hospital of Harvard Medical School.

The Natural Language Processing Data Scientist shall be responsible for:
Researching cutting edge neural network approach for biomedical information extraction tasks.
Developing artificial intelligence (AI) tools and providing analytical and technical guidance to team members and stakeholders.

In order to qualify you must have:
BS or MS degree in computer science with experience in machine learning or NLP, with interest in biomedical applications.
Experience with training machine learning (ML) models under data-starved conditions
Ability to develop artificial intelligence (AI) tools
High level of personal initiative and ability to thrive in a start-up-like environment (ex. ability to self-direct trainings)
Comfort working as part of a dynamic team in a fast-paced environment, ability to effectively multitask with sometimes concurrent priorities
Ability to communicate complex information simply and clearly, both orally and in writing

Please note: During a public health emergency, individuals in this role may be expected to take on additional duties to respond to organizational needs

Boston Children’s Hospital offers competitive compensation and unmatched benefits, including affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement, cell phone plan discounts and discounted rates on T-passes (50% off). Discover your best.

Boston Children’s Hospital is an Equal Opportunity / Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.


LI
LI

Status

Full-Time

Regular, Temporary, Per Diem

Regular

Standard Hours per Week

40

Office/Site Location

Boston

Job Category

Information Technology"
